m1,m2,Lambda
0.01,0.01,3.1902603885714105
0.01,0.6810738255033557,-1.4608665987386364
0.01,1.3521476510067114,-0.9505612971444032
0.01,2.023221476510067,-0.9700650305458725
0.01,2.6942953020134226,-0.9937929226369028
0.01,3.3653691275167783,-1.6386395854534945
0.01,4.036442953020134,-1.0568018719312704
0.01,4.707516778523489,-1.010545025058451
0.01,5.378590604026845,-1.079408526218768
0.01,6.049664429530202,-1.2635570529411164
0.01,6.720738255033557,-1.344936155848347
0.01,7.391812080536912,-1.6270704262353486
0.01,8.062885906040268,-1.7729507051574838
0.01,8.733959731543624,-0.9647966702684713
0.01,9.405033557046979,-0.4851561149589726
0.01,10.076107382550335,-0.9642583085527753
0.01,10.747181208053691,-1.683310008837738
0.01,11.418255033557047,-1.6613057275560918
0.01,12.089328859060403,-0.686488998341856
0.01,12.760402684563758,-0.735018033255999
0.01,13.431476510067114,-2.472994131647972
0.01,14.10255033557047,-0.619168975875418
0.01,14.773624161073824,-0.3838450261248773
0.01,15.44469798657718,-2.1680277759280715
0.01,16.11577181208054,-1.319036860959148
0.01,16.786845637583895,-0.943287539439664
0.01,17.45791946308725,-0.9782197219575999
0.01,18.128993288590607,-1.1227296671142755
0.01,18.80006711409396,-1.6151388965838032
0.01,19.471140939597316,-1.341351710439804
0.01,20.14221476510067,-0.846844632377563
0.01,20.813288590604028,-1.1014729527791218
0.01,21.484362416107384,-1.085703469444881
0.01,22.15543624161074,-1.3343091949759796
0.01,22.826510067114096,-1.2700717865333424
0.01,23.497583892617453,-1.075098896574442
0.01,24.16865771812081,-1.0282513005600538
0.01,24.83973154362416,-1.0498654483394105
0.01,25.510805369127517,-1.3053960629404704
0.01,26.181879194630874,-1.2532792051408186
0.01,26.85295302013423,-1.4806384550781604
0.01,27.524026845637586,-1.214748480162208
0.01,28.195100671140942,-1.2997241698135087
0.01,28.866174496644298,-1.0222831689326775
0.01,29.53724832214765,-1.2412776601364992
0.01,30.208322147651007,-1.1351124768478436
0.01,30.879395973154363,-1.2653788590586181
0.01,31.55046979865772,-1.2567879266185997
0.01,32.22154362416107,-1.2340587001321512
0.01,32.89261744966443,-1.2401420607536298
0.01,33.563691275167784,-1.1405874085027414
0.01,34.23476510067114,-1.1405298203558676
0.01,34.905838926174496,-1.3724452548984754
0.01,35.57691275167785,-1.1061942523299948
0.01,36.24798657718121,-1.287669428013844
0.01,36.919060402684565,-1.4141992958213834
0.01,37.590134228187914,-0.8512447030094211
0.01,38.26120805369127,-1.7016311911297144
0.01,38.932281879194626,-0.8927488354067274
0.01,39.60335570469798,-1.0715560075283843
0.01,40.27442953020134,-1.7569011097931002
0.01,40.945503355704695,-0.6544672543769472
0.01,41.61657718120805,-1.4755853303244868
0.01,42.28765100671141,-1.3292934198927315
0.01,42.95872483221476,-1.0034987127982207
0.01,43.62979865771812,-1.4937570734926087
0.01,44.300872483221475,-0.8795364303668008
0.01,44.97194630872483,-1.5563248875161093
0.01,45.64302013422819,-1.2308006435577235
0.01,46.314093959731544,-0.7509253744085814
0.01,46.9851677852349,-1.8405986603003677
0.01,47.656241610738256,-0.9291071809293587
0.01,48.32731543624161,-0.9699746536281961
0.01,48.99838926174496,-2.0135585834643566
0.01,49.66946308724832,-0.7928398369918666
0.01,50.34053691275167,-0.9369837758938006
0.01,51.01161073825503,-1.6935698789012357
0.01,51.682684563758386,-0.8896593591253993
0.01,52.35375838926174,-1.318530893467841
0.01,53.0248322147651,-1.6332738123377244
0.01,53.695906040268454,-0.8031123279220048
0.01,54.36697986577181,-1.0730253696739507
0.01,55.03805369127517,-1.342400597888079
0.01,55.70912751677852,-1.1241087814831876
0.01,56.38020134228188,-1.542993035850599
0.01,57.051275167785235,-1.5240664852365253
0.01,57.72234899328859,-1.0529240242853022
0.01,58.39342281879195,-1.021731506033027
0.01,59.064496644295296,-0.8954122763940425
0.01,59.73557046979865,-1.0062112905332643
0.01,60.40664429530201,-1.4549473129244477
0.01,61.077718120805365,-1.4976468349734342
0.01,61.74879194630872,-1.5825963685488007
0.01,62.41986577181208,-1.4332278852999716
0.01,63.09093959731543,-1.073041567157672
0.01,63.76201342281879,-0.9332587963953732
0.01,64.43308724832215,-0.9376591753951254
0.01,65.10416107382551,-1.0142913772272357
0.01,65.77523489932886,-1.1045512682663503
0.01,66.44630872483222,-1.5908905070299357
0.01,67.11738255033558,-1.522184055431597
0.01,67.78845637583893,-1.4442113983407396
0.01,68.45953020134229,-1.412071296628725
0.01,69.13060402684565,-1.0524286888285332
0.01,69.801677852349,-0.9661143561627357
0.01,70.47275167785236,-1.0451015223726388
0.01,71.14382550335571,-1.0922582076359784
